sep=,
words, split_time
1025, 14185
1027, 12511
1029, 12820
1031, 12582
1033, 23707
1035, 11520
1037, 13036
1039, 12026
1041, 12715
1043, 12037
1045, 21614
1047, 12521
1049, 13035
1051, 11840
1053, 12183
1055, 22435
1057, 11840
1059, 12668
1061, 12283
1063, 12656
1065, 22639
1067, 11637
1069, 11654
1071, 12987
1073, 12310
1075, 12268
1077, 21431
1079, 12125
1081, 12738
1083, 13058
1085, 13248
1087, 21981
1089, 11764
1091, 13229
1093, 11647
1095, 13230
1097, 21700
1099, 12184
1101, 12416
1103, 11674
1105, 13203
1107, 21461
1109, 12238
1111, 13363
1113, 12255
1115, 12728
1117, 23907
1119, 11731
1121, 12242
1123, 12736
1125, 13348
1127, 12330
1129, 21017
1131, 12542
1133, 12315
1135, 12762
1137, 13112
1139, 21377
1141, 12879
1143, 13294
1145, 12198
1147, 13744
1149, 20962
1151, 11732
1153, 12559
1155, 12818
1157, 23067
1159, 11677
1161, 12690
1163, 13174
1165, 12621
1167, 23584
1169, 10728
1171, 13253
1173, 12687
1175, 14150
1177, 24552
1179, 11726
1181, 13966
1183, 13124
1185, 13679
1187, 20941
1189, 13195
1191, 13311
1193, 12622
1195, 13318
1197, 22999
1199, 12285
1201, 13742
1203, 12902
1205, 14336
1207, 21452
1209, 12869
1211, 12798
1213, 13265
1215, 23521
1217, 11962
1219, 13541
1221, 12252
1223, 13444
1225, 20946
1227, 12818
1229, 14114
1231, 12585
1233, 14431
1235, 20369
1237, 13349
1239, 13336
1241, 13745
1243, 21937
1245, 12641
1247, 13307
1249, 13276
1251, 13923
1253, 20733
1255, 13916
1257, 12944
1259, 13308
1261, 23681
1263, 12064
1265, 13029
1267, 14052
1269, 13290
1271, 21915
1273, 12627
1275, 14018
1277, 12663
1279, 24337
1281, 12836
1283, 14710
1285, 13583
1287, 13286
1289, 24478
1291, 13696
1293, 13378
1295, 13666
1297, 23068
1299, 11642
1301, 14361
1303, 13295
1305, 23413
1307, 11901
1309, 13657
1311, 14270
1313, 14040
1315, 21600
1317, 13712
1319, 12723
1321, 14458
1323, 20410
1325, 13922
1327, 13319
1329, 13774
1331, 22050
1333, 12434
1335, 14040
1337, 13521
1339, 15071
1341, 22554
1343, 13456
1345, 14673
1347, 14039
1349, 22040
1351, 13555
1353, 14708
1355, 13467
1357, 22274
1359, 13301
1361, 14062
1363, 13411
1365, 23642
1367, 13113
1369, 13857
1371, 13751
1373, 24203
1375, 12490
1377, 13342
1379, 13929
1381, 23718
1383, 12679
1385, 12966
1387, 14930
1389, 14124
1391, 25884
1393, 16027
1395, 14797
1397, 15556
1399, 24721
1401, 15084
1403, 15040
1405, 13617
1407, 26527
1409, 14508
1411, 15586
1413, 14040
1415, 25324
1417, 14038
1419, 14691
1421, 15029
1423, 22743
1425, 14147
1427, 14502
1429, 14226
1431, 22583
1433, 14299
1435, 14797
1437, 14998
1439, 24789
1441, 15189
1443, 14551
1445, 15447
1447, 24524
1449, 15034
1451, 16548
1453, 14560
1455, 24955
1457, 14575
1459, 15683
1461, 25588
1463, 13036
1465, 15576
1467, 15085
1469, 25376
1471, 14506
1473, 14556
1475, 16061
1477, 26077
1479, 13544
1481, 15566
1483, 16039
1485, 24560
1487, 13740
1489, 13530
1491, 16556
1493, 22077
1495, 14762
1497, 14557
1499, 15791
1501, 24799
1503, 15061
1505, 16078
1507, 24640
1509, 14045
1511, 16035
1513, 15608
1515, 25325
1517, 13641
1519, 14767
1521, 15047
1523, 23600
1525, 12548
1527, 14802
1529, 15549
1531, 21076
1533, 14034
1535, 15567
1537, 24572
1539, 13550
1541, 14036
1543, 15555
1545, 23592
1547, 12515
1549, 15035
1551, 15576
1553, 21066
1555, 14065
1557, 15246
1559, 23657
1561, 13021
1563, 13960
1565, 13581
1567, 22994
1569, 11712
1571, 15228
1573, 14238
1575, 21083
1577, 14286
1579, 15269
1581, 23243
1583, 12225
1585, 13763
1587, 15935
1589, 21445
1591, 13774
1593, 14187
1595, 23597
1597, 11653
1599, 14311
1601, 15926
1603, 22389
1605, 13201
1607, 13755
1609, 15213
1611, 19355
1613, 15009
1615, 15208
1617, 21327
1619, 14312
1621, 14428
1623, 14678
1625, 19758
1627, 14729
1629, 15295
1631, 22460
1633, 12361
1635, 14877
1637, 16509
1639, 20529
1641, 14450
1643, 15989
1645, 22113
1647, 13283
1649, 14957
1651, 14930
1653, 22092
1655, 14546
1657, 16575
1659, 25250
1661, 13555
1663, 15535
1665, 23464
1667, 13447
1669, 15570
1671, 15512
1673, 21068
1675, 14169
1677, 15115
1679, 22601
1681, 12964
1683, 14431
1685, 16005
1687, 18947
1689, 15987
1691, 14944
1693, 22674
1695, 13316
1697, 14888
1699, 22970
1701, 12772
1703, 14969
1705, 15216
1707, 20540
1709, 14917
1711, 15526
1713, 23113
1715, 13683
1717, 15558
1719, 24166
1721, 14543
1723, 15579
1725, 16555
1727, 21069
1729, 15545
1731, 15553
1733, 22709
1735, 14711
1737, 15641
1739, 22527
1741, 12960
1743, 15606
1745, 21986
1747, 14635
1749, 14881
1751, 15179
1753, 22400
1755, 14805
1757, 15395
1759, 22298
1761, 13310
1763, 15679
1765, 21740
1767, 13218
1769, 14729
1771, 23936
1773, 13274
1775, 14793
1777, 17267
1779, 20519
1781, 13649
1783, 17332
1785, 22787
1787, 15227
1789, 14889
1791, 22383
1793, 13218
1795, 16276
1797, 21361
1799, 13246
1801, 15098
1803, 22350
1805, 13436
1807, 14682
1809, 23695
1811, 13289
1813, 15070
1815, 15763
1817, 21940
1819, 14245
1821, 15754
1823, 20960
1825, 15374
1827, 15765
1829, 20908
1831, 15281
1833, 15313
1835, 22668
1837, 13409
1839, 16349
1841, 23461
1843, 13234
1845, 15320
1847, 22964
1849, 13119
1851, 15656
1853, 22019
1855, 12280
1857, 15738
1859, 22689
1861, 13891
1863, 14766
1865, 21973
1867, 13218
1869, 12732
1871, 21500
1873, 13290
1875, 15317
1877, 24010
1879, 12685
1881, 16265
1883, 19949
1885, 13425
1887, 12622
1889, 18940
1891, 12773
1893, 13231
1895, 21396
1897, 13877
1899, 15300
1901, 23897
1903, 13408
1905, 16194
1907, 23024
1909, 13203
1911, 14049
1913, 19445
1915, 13402
1917, 14168
1919, 21546
1921, 14143
1923, 16187
1925, 22919
1927, 13757
1929, 16435
1931, 21546
1933, 13683
1935, 13297
1937, 20368
1939, 14327
1941, 15411
1943, 22035
1945, 14332
1947, 18183
1949, 22441
1951, 13077
1953, 14074
1955, 20052
1957, 13371
1959, 14598
1961, 21001
1963, 14982
1965, 16018
1967, 24000
1969, 16038
1971, 18075
1973, 19977
1975, 13537
1977, 15037
1979, 21597
1981, 16034
1983, 25746
1985, 14038
1987, 16035
1989, 22565
1991, 14034
1993, 14547
1995, 19047
1997, 13521
1999, 15039
2001, 21067
2003, 14630
2005, 16919
2007, 21559
2009, 13518
2011, 15036
2013, 18746
2015, 13237
2017, 14399
2019, 21245
2021, 16267
2023, 22952
2025, 12293
2027, 14321
2029, 19324
2031, 14275
2033, 12569
2035, 21836
2037, 15370
2039, 16323
2041, 20436
2043, 12633
2045, 15342
2047, 18328
2049, 14319
2051, 20948
2053, 15226
2055, 16264
2057, 21450
2059, 13318
2061, 13772
2063, 19375
2065, 13214
2067, 13723
2069, 22048
2071, 16992
2073, 22277
2075, 13411
2077, 14492
2079, 19993
2081, 13940
2083, 13503
2085, 21262
2087, 14338
2089, 22945
2091, 13413
2093, 14503
2095, 19938
2097, 14508
2099, 13986
2101, 17985
2103, 14947
2105, 13987
2107, 18960
2109, 13245
2111, 22073
2113, 14336
2115, 13232
2117, 19554
2119, 14245
2121, 14030
2123, 18614
2125, 14005
2127, 18942
2129, 14127
2131, 13247
2133, 19537
2135, 13986
2137, 15062
2139, 18947
2141, 14556
2143, 19554
2145, 15202
2147, 14079
2149, 20048
2151, 14404
2153, 15506
2155, 19498
2157, 14517
2159, 20490
2161, 13990
2163, 15542
2165, 20460
2167, 14547
2169, 15035
2171, 19404
2173, 14523
2175, 19939
2177, 14235
2179, 14712
2181, 22646
2183, 16584
2185, 24343
2187, 15838
2189, 14471
2191, 21400
2193, 14039
2195, 15878
2197, 19375
2199, 14066
2201, 20524
2203, 14232
2205, 16822
2207, 24082
2209, 21111
2211, 28575
2213, 21956
2215, 23374
2217, 30585
2219, 21946
2221, 28449
2223, 16069
2225, 15248
2227, 23087
2229, 20608
2231, 20468
2233, 26240
2235, 19574
2237, 26775
2239, 19800
2241, 16558
2243, 27996
