sep=,
words, split_time
943, 2008
945, 2000
947, 2000
949, 1513
951, 2014
953, 1000
955, 2991
957, 1000
959, 1506
961, 2005
963, 1000
965, 2008
967, 2000
969, 1514
971, 2015
973, 1996
975, 996
977, 2008
979, 1504
981, 2006
983, 2008
985, 1000
987, 2000
989, 1514
991, 2014
993, 1000
995, 1993
997, 1999
999, 1504
1001, 2006
1003, 1000
1005, 2000
1007, 1000
1009, 2506
1011, 2006
1013, 999
1015, 2000
1017, 1998
1019, 1505
1021, 2003
1023, 2000
1025, 1000
1027, 2002
1029, 1506
1031, 2005
1033, 2003
1035, 1995
1037, 2002
1039, 1510
1041, 2000
1043, 1000
1045, 2008
1047, 2503
1049, 2007
1051, 1000
1053, 2009
1055, 1999
1057, 2528
1059, 2001
1061, 1000
1063, 1991
1065, 1009
1067, 2527
1069, 2000
1071, 1992
1073, 2000
1075, 1503
1077, 2004
1079, 2001
1081, 1999
1083, 2505
1085, 2007
1087, 2001
1089, 998
1091, 2002
1093, 3514
1095, 1994
1097, 2002
1099, 999
1101, 2512
1103, 2009
1105, 1989
1107, 2000
1109, 1503
1111, 2007
1113, 1998
1115, 2000
1117, 2507
1119, 2017
1121, 1998
1123, 1999
1125, 1001
1127, 3531
1129, 1999
1131, 1000
1133, 1999
1135, 2530
1137, 999
1139, 2989
1141, 2173
1143, 1505
1145, 2001
1147, 2002
1149, 2001
1151, 2526
1153, 1012
1155, 2001
1157, 1999
1159, 1992
1161, 2099
1163, 2000
1165, 2000
1167, 1992
1169, 1514
1171, 3015
1173, 2000
1175, 1999
1177, 1513
1179, 2016
1181, 1999
1183, 3000
1185, 2518
1187, 1000
1189, 2008
1191, 2000
1193, 2506
1195, 2005
1197, 1998
1199, 2002
1201, 2505
1203, 2006
1205, 2008
1207, 1992
1209, 1008
1211, 2529
1213, 1999
1215, 3000
1217, 1001
1219, 2518
1221, 2008
1223, 2000
1225, 1997
1227, 2511
1229, 2008
1231, 2001
1233, 1999
1235, 2529
1237, 1991
1239, 2172
1241, 2008
1243, 2061
1245, 1990
1247, 3011
1249, 1990
1251, 1517
1253, 2000
1255, 3001
1257, 2498
1259, 2006
1261, 1997
1263, 2003
1265, 2008
1267, 2217
1269, 1999
1271, 2993
1273, 1008
1275, 3077
1277, 2002
1279, 2008
1281, 2528
1283, 1999
1285, 2991
1287, 2504
1289, 2014
1291, 2000
1293, 1992
1295, 2513
1297, 2006
1299, 2007
1301, 2992
1303, 1506
1305, 3006
1307, 2000
1309, 2000
1311, 2512
1313, 2001
1315, 2997
1317, 2505
1319, 3004
1321, 2001
1323, 1999
1325, 3512
1327, 2389
1329, 1999
1331, 2001
1333, 3071
1335, 1992
1337, 3523
1339, 2004
1341, 2008
1343, 1991
1345, 3422
1347, 2001
1349, 1998
1351, 2000
1353, 3167
1355, 3009
1357, 1990
1359, 2510
1361, 2009
1363, 2992
1365, 2008
1367, 2315
1369, 2002
1371, 1998
1373, 4056
1375, 2009
1377, 1989
1379, 2509
1381, 2014
1383, 3991
1385, 1000
1387, 3511
1389, 2009
1391, 2999
1393, 2527
1395, 2001
1397, 1992
1399, 2008
1401, 3520
1403, 3000
1405, 2000
1407, 2519
1409, 2116
1411, 4000
1413, 2040
1415, 2001
1417, 2000
1419, 3504
1421, 2016
1423, 2000
1425, 2994
1427, 2513
1429, 2997
1431, 3011
1433, 2528
1435, 2000
1437, 3000
1439, 2497
1441, 2013
1443, 2000
1445, 3001
1447, 2520
1449, 2999
1451, 2009
1453, 2497
1455, 3005
1457, 2001
1459, 1999
1461, 3507
1463, 2008
1465, 2992
1467, 2512
1469, 3000
1471, 1999
1473, 3520
1475, 2001
1477, 3004
1479, 2506
1481, 2026
1483, 4001
1485, 2505
1487, 2005
1489, 3001
1491, 2003
1493, 3510
1495, 2999
1497, 1998
1499, 3528
1501, 2992
1503, 1999
1505, 3512
1507, 2007
1509, 2990
1511, 3527
1513, 2000
1515, 3002
1517, 2518
1519, 3009
1521, 2990
1523, 2058
1525, 3512
1527, 3055
1529, 2041
1531, 2001
1533, 2998
1535, 3546
1537, 1991
1539, 3000
1541, 2503
1543, 3004
1545, 3001
1547, 2503
1549, 3005
1551, 3001
1553, 2501
1555, 3005
1557, 2505
1559, 3026
1561, 3062
1563, 2000
1565, 2000
1567, 3508
1569, 4000
1571, 2505
1573, 2004
1575, 3000
1577, 2001
1579, 3509
1581, 3000
1583, 2011
1585, 3517
1587, 3016
1589, 1986
1591, 3510
1593, 3009
1595, 3520
1597, 2015
1599, 2990
1601, 2009
1603, 3528
1605, 2991
1607, 2000
1609, 3527
1611, 2991
1613, 3522
1615, 2015
1617, 3989
1619, 2523
1621, 3006
1623, 2009
1625, 3513
1627, 3006
1629, 2528
1631, 3015
1633, 3092
1635, 1999
1637, 1994
1639, 2519
1641, 3998
1643, 3523
1645, 2014
1647, 3001
1649, 1999
1651, 4528
1653, 2000
1655, 2000
1657, 3511
1659, 4009
1661, 2512
1663, 2003
1665, 4011
1667, 2514
1669, 3015
1671, 2999
1673, 3517
1675, 3011
1677, 2999
1679, 2714
1681, 2884
1683, 3000
1685, 2527
1687, 2991
1689, 2999
1691, 3534
1693, 2995
1695, 2000
1697, 3528
1699, 3099
1701, 2000
1703, 3072
1705, 3001
1707, 1999
1709, 3507
1711, 2000
1713, 4456
1715, 2069
1717, 3001
1719, 3514
1721, 3014
1723, 2993
1725, 3518
1727, 2991
1729, 3001
1731, 3508
1733, 3005
1735, 3502
1737, 3013
1739, 2992
1741, 2502
1743, 4006
1745, 3000
1747, 2511
1749, 2999
1751, 3009
1753, 3511
1755, 2000
1757, 3000
1759, 3512
1761, 3005
1763, 3513
1765, 2548
1767, 3002
1769, 2009
1771, 3059
1773, 3998
1775, 3523
1777, 2006
1779, 3000
1781, 3521
1783, 3999
1785, 2001
1787, 3509
1789, 3009
1791, 3506
1793, 3013
1795, 2992
1797, 2505
1799, 3005
1801, 3009
1803, 2496
1805, 3031
1807, 2976
1809, 2512
1811, 4005
1813, 3000
1815, 3512
1817, 3008
1819, 1992
1821, 3519
1823, 3000
1825, 3495
1827, 3014
1829, 3496
1831, 2556
1833, 4002
1835, 3001
1837, 3183
1839, 2992
1841, 2999
1843, 3043
1845, 2999
1847, 3527
1849, 3000
1851, 2009
1853, 3514
1855, 2992
1857, 3000
1859, 2508
1861, 4009
1863, 3492
1865, 3014
1867, 3001
1869, 3517
1871, 3000
1873, 2992
1875, 3520
1877, 2999
1879, 3521
1881, 2015
1883, 4991
1885, 2520
1887, 2991
1889, 3000
1891, 3522
1893, 3005
1895, 3302
1897, 3441
1899, 2976
1901, 3534
1903, 3000
1905, 2991
1907, 3518
1909, 2999
1911, 4525
1913, 3001
1915, 2999
1917, 3017
1919, 2992
1921, 3504
1923, 3014
1925, 3991
1927, 3037
1929, 3991
1931, 3523
1933, 3003
1935, 3000
1937, 4113
1939, 3004
1941, 1999
1943, 3508
1945, 4001
1947, 3009
1949, 3004
1951, 2999
1953, 3507
1955, 2506
1957, 3502
1959, 4006
1961, 3001
1963, 3505
1965, 3003
1967, 3504
1969, 3504
1971, 3000
1973, 3640
1975, 3000
1977, 2515
1979, 4115
1981, 4012
1983, 2503
1985, 4017
1987, 3527
1989, 3069
1991, 4007
1993, 3109
1995, 2998
1997, 3000
1999, 3129
2001, 2984
2003, 1999
2005, 4528
2007, 2999
2009, 2515
2011, 4005
2013, 2998
2015, 4034
2017, 3011
2019, 4071
2021, 3000
2023, 3999
2025, 3107
2027, 2999
2029, 3112
2031, 4000
2033, 4087
2035, 3000
2037, 3000
2039, 3183
2041, 3000
2043, 2999
2045, 4117
2047, 3000
2049, 2928
2051, 3542
2053, 1999
2055, 3527
2057, 4000
2059, 3517
2061, 2999
2063, 4517
2065, 4015
2067, 2999
2069, 3529
2071, 2999
2073, 3516
2075, 3531
2077, 3999
2079, 2506
2081, 4000
2083, 3503
2085, 3003
2087, 3000
2089, 3631
2091, 3000
2093, 3515
2095, 4014
2097, 3001
2099, 4530
2101, 3000
2103, 3528
2105, 3021
2107, 4482
2109, 3014
